RA_ICRS,DE_ICRS,rmag,zsp
195.074954,27.385966,17.653,
195.219915,27.384368,17.561,
195.152531,27.575845,17.521,
194.563614,27.464697,17.736,
194.482062,27.490099,17.555,
194.437268,27.576120,17.760,
194.724123,27.388636,17.521,
194.689551,27.446954,17.474,
194.649444,27.466148,15.715,
194.667667,27.472909,15.452,
195.011131,27.711337,17.675,
194.924570,27.723668,17.388,
194.627575,27.564401,17.750,
194.503984,27.559124,16.508,
194.860237,27.856882,17.548,
194.734900,27.803568,17.533,
194.814932,27.899152,17.438,
194.734427,27.908130,17.753,
195.535114,27.636959,17.496,
195.401980,27.624656,16.385,
195.213773,27.689156,17.643,
195.459295,27.625716,15.971,
195.466883,27.636194,17.703,
195.458947,27.675974,16.417,
195.375071,27.852726,16.690,
195.658645,28.113662,16.557,
195.053845,27.718872,17.576,
195.118402,27.761221,17.495,
195.212891,27.776460,17.229,
195.266238,27.762482,17.335,
195.243440,27.761209,17.208,
195.259966,27.775319,17.583,
195.262535,27.788116,17.240,
195.259522,27.790127,17.686,
195.263152,27.784566,17.198,
195.267168,27.788092,17.521,
195.230690,27.793336,15.969,
195.236156,27.792557,16.237,
195.217063,27.773381,17.215,
195.250268,27.807535,17.377,
195.006949,27.728865,17.575,
195.031432,27.808282,16.367,
195.286232,27.819971,17.422,
195.356632,27.883667,14.865,
195.306551,27.883133,17.535,
195.442461,27.957800,15.158,
195.224009,27.968247,17.768,
195.186099,27.962530,16.193,
195.200948,27.955737,14.910,
195.200426,27.955757,17.705,
195.245136,28.026851,17.642,
195.214755,28.042873,13.603,
194.926075,27.858867,16.959,
194.899868,27.906112,17.639,
194.910862,27.908751,17.566,
195.039431,27.915646,16.171,
195.073669,27.955262,13.772,
194.958154,27.956828,17.316,
195.028591,27.984506,12.994,
195.024300,27.969504,14.129,
195.044832,27.990943,14.771,
195.053720,27.990578,16.980,
194.819910,27.910785,17.175,
194.847414,27.911604,13.451,
194.839976,27.934377,17.593,
194.904728,27.979722,14.502,
194.831981,27.968121,17.171,
194.789811,27.967349,16.954,
194.785399,27.964450,16.884,
194.806023,27.975802,16.565,
194.804590,27.975861,14.499,
194.806165,27.960808,17.713,
194.889310,28.066015,15.415,
194.882652,28.063748,17.545,
194.891669,28.067489,13.816,
195.091935,27.983404,17.378,
195.160575,28.016060,16.203,
195.174742,28.019971,17.650,
195.177272,28.016018,17.651,
195.159285,28.055180,16.539,
195.198649,28.092764,17.516,
195.177341,28.116305,17.018,
195.230706,28.174797,17.284,
195.202818,28.179330,16.922,
195.055328,28.090092,17.609,
195.082099,28.121521,17.696,
195.079185,28.186491,15.952,
195.076032,28.209749,16.805,
195.549769,28.173223,16.363,
195.423045,28.211154,16.799,
195.609067,28.245736,17.702,
195.546800,28.219853,16.912,
195.593824,28.310957,17.695,
195.483419,28.288930,17.449,
195.544503,28.345918,17.430,
195.216636,28.314781,17.481,
195.546257,28.376171,17.591,
194.380225,27.605621,15.271,
194.596407,27.806645,17.756,
194.629479,27.895503,17.676,
194.561962,27.933352,13.553,
194.250494,27.811332,17.763,
194.492963,28.062351,16.836,
194.562693,28.125907,14.632,
194.785886,27.982450,17.392,
194.753914,27.988950,16.034,
194.782139,28.097469,17.194,
194.884973,28.069852,17.352,
194.869572,28.085779,16.586,
194.835873,28.081270,16.341,
194.917360,28.179347,17.323,
194.981508,28.243190,17.449,
194.880370,28.217314,17.509,
194.888412,28.238947,11.939,
194.894324,28.241453,15.136,
194.905349,28.237761,16.443,
194.898992,28.237417,16.831,
194.893527,28.229805,16.541,
194.886048,28.243169,15.754,
194.873085,28.240026,16.263,
194.975714,28.402506,15.953,
194.976353,28.402491,15.579,
194.638159,28.324875,14.218,
194.645029,28.321443,14.610,
194.635917,28.317513,16.208,
194.657981,28.315764,17.002,
194.521551,28.249971,17.705,
194.625138,28.426631,17.051,
194.751431,28.374256,17.215,
195.170490,28.511943,17.620,
195.178155,28.510423,16.563,
195.017063,28.414089,15.433,
195.169506,28.519893,15.869,
195.080812,28.591275,17.737,
194.894937,28.537282,17.397,
194.952762,28.593333,17.666,
194.945711,28.621988,17.545,
195.084836,28.636674,16.414,
195.043583,28.625246,17.696,
194.973721,28.632739,14.688,
194.977572,28.633385,15.845,
194.980971,28.629172,16.499,
194.916887,28.633825,17.413,
